timestamp,SBN,CN,x,y,z,T
2017-02-10-14-01-26,05,16,41870,4294966227,18655,46095
2017-02-10-14-01-26,06,01,70835,5634,14178,46139
2017-02-10-14-01-26,06,02,72146,4294961507,19014,46072
2017-02-10-14-01-26,06,03,68610,4294956250,21181,45998
2017-02-10-14-01-26,06,04,64437,4294956874,21318,46097
2017-02-10-14-01-26,06,05,63951,4294958630,18639,46024
2017-02-10-14-01-26,06,06,57952,19005,12192,46044
2017-02-10-14-01-26,06,07,66895,4294966132,17448,46066
2017-02-10-14-01-26,06,08,51670,4294963227,14327,46041
2017-02-10-14-01-26,06,09,69930,6786,13773,45832
2017-02-10-14-01-26,06,10,76772,13943,7819,46037
2017-02-10-14-01-26,06,11,59250,4294940206,14073,45983
2017-02-10-14-01-26,06,12,65538,4294960646,17594,46098
2017-02-10-14-01-26,06,13,65082,4294954581,22367,46025
2017-02-10-14-01-26,06,14,74829,4294949302,6637,46029
2017-02-10-14-01-26,06,15,46511,4294960945,19310,46068
2017-02-10-14-01-26,06,16,65572,4294940410,14724,46103
2017-02-10-14-01-26,07,01,76636,4294948907,18353,46132
2017-02-10-14-01-26,07,02,78042,4294944423,22425,46062
2017-02-10-14-01-26,07,03,59979,4294962997,25869,46132
2017-02-10-14-01-26,07,04,72872,4294961425,16509,45991
2017-02-10-14-01-26,07,05,60515,4294963748,21799,46057
2017-02-10-14-01-26,07,06,80129,2627,12603,46074
2017-02-10-14-01-26,07,07,66173,3615,18451,46017
2017-02-10-14-01-26,07,08,81185,1060,14859,46040
2017-02-10-14-01-26,07,09,84790,2930,9263,46005
2017-02-10-14-01-26,07,10,82314,3840,17566,45999
2017-02-10-14-01-26,07,11,67871,4294964289,16479,46070
2017-02-10-14-01-26,07,12,81861,4294957445,15987,46018
2017-02-10-14-01-26,07,13,63022,4294962958,14942,46015
2017-02-10-14-01-26,07,14,72821,4294940148,27986,46079
2017-02-10-14-01-26,07,15,75223,4294958085,17430,46031
2017-02-10-14-01-26,07,16,51512,4294955301,13773,46071
2017-02-10-14-01-26,08,01,77152,9342,7833,46041
2017-02-10-14-01-26,08,02,73426,4294964748,19313,46077
2017-02-10-14-01-26,08,03,78009,4294961823,22073,46090
2017-02-10-14-01-26,08,04,88025,4294966130,15454,46012
2017-02-10-14-01-26,08,05,75629,4294958353,22956,46030
2017-02-10-14-01-26,08,06,88194,6212,18266,46011
2017-02-10-14-01-26,08,07,95611,4294964375,19889,46006
2017-02-10-14-01-26,08,08,76352,2906,19521,46098
2017-02-10-14-01-26,08,09,75582,4294964526,15991,46010
2017-02-10-14-01-26,08,10,76124,4294959935,14715,45975
2017-02-10-14-01-26,08,11,69498,4294966848,16925,46062
2017-02-10-14-01-26,08,12,80195,4294948747,15031,46038
2017-02-10-14-01-26,08,13,78149,4294941757,16825,46035
2017-02-10-14-01-26,08,14,71559,4294961368,13938,46071
2017-02-10-14-01-26,08,15,82398,4294936785,21364,46064
2017-02-10-14-01-26,08,16,53048,5938,23186,46078
2017-02-10-14-01-26,09,01,80917,4294939313,20891,46098
2017-02-10-14-01-26,09,02,68966,4294966230,12776,46059
2017-02-10-14-01-26,09,03,69328,4294961962,20445,46065
2017-02-10-14-01-26,09,04,65411,4294953825,14820,46022
2017-02-10-14-01-26,09,05,52807,501,19861,46025
2017-02-10-14-01-26,09,06,60490,4294959720,20131,46079
2017-02-10-14-01-26,09,07,77748,4294951924,19752,45995
2017-02-10-14-01-26,09,08,69575,4813,21477,46105
2017-02-10-14-01-26,09,09,73927,13895,16033,46139
2017-02-10-14-01-26,09,10,64689,7908,22790,46023
2017-02-10-14-01-26,09,11,71611,4294963937,10908,46086
2017-02-10-14-01-26,09,12,82614,967,15051,46077
2017-02-10-14-01-26,09,13,74460,4294948556,20167,46003
2017-02-10-14-01-26,09,14,63051,4294949294,11174,46067
2017-02-10-14-01-26,09,15,71916,4294937875,19813,46028
2017-02-10-14-01-26,09,16,64484,4294952049,14432,46009
2017-02-10-14-01-26,10,01,80819,3669,14561,46045
2017-02-10-14-01-26,10,02,86126,4294963026,21732,45969
2017-02-10-14-01-26,10,03,67006,1318,26188,45727
2017-02-10-14-01-26,10,04,71906,4294960066,22841,46032
2017-02-10-14-01-26,10,05,85111,4294963261,28553,46048
2017-02-10-14-01-26,10,06,73177,4294943544,23164,46070
2017-02-10-14-01-26,10,07,66365,4294966880,17486,46023
2017-02-10-14-01-26,10,08,81080,4294963055,18977,46029
2017-02-10-14-01-26,10,09,80376,7616,12401,46078
2017-02-10-14-01-26,10,10,88566,4294961245,21210,46073
2017-02-10-14-01-26,10,11,71099,4294945083,20328,46032
2017-02-10-14-01-26,10,12,72811,6702,13435,46002
2017-02-10-14-01-26,10,13,84427,4294956139,31414,46015
2017-02-10-14-01-26,10,14,54014,4294950866,21684,46138
2017-02-10-14-01-26,10,15,62957,6947,16788,46058
2017-02-10-14-01-26,10,16,70079,4294961799,24551,46067
2017-02-10-14-01-26,11,01,80892,4294958418,23232,46005
2017-02-10-14-01-26,11,02,87967,4294948402,19878,46099
2017-02-10-14-01-26,11,03,74923,4294960847,14264,46071
2017-02-10-14-01-26,11,04,93086,9846,20094,45988
2017-02-10-14-01-26,11,05,78180,4294959483,27614,46040
2017-02-10-14-01-26,11,06,72123,4294967043,7367,46036
2017-02-10-14-01-26,11,07,66086,4294962830,26797,46070
2017-02-10-14-01-26,11,08,93827,4294965361,21036,46100
2017-02-10-14-01-26,11,09,88605,4294964909,29173,46041
2017-02-10-14-01-26,11,10,86726,4294959970,12736,46040
2017-02-10-14-01-26,11,11,61839,3336,19406,46042
2017-02-10-14-01-26,11,12,81724,4294963366,16603,46028
2017-02-10-14-01-26,11,13,92300,4294953888,24061,45987
2017-02-10-14-01-26,11,14,103512,10416,12574,46089
2017-02-10-14-01-26,11,15,82617,4294943188,21543,46099
2017-02-10-14-01-26,11,16,85932,4294954277,13285,46064
2017-02-10-14-01-26,12,01,90132,4294965581,18649,46073
2017-02-10-14-01-26,12,02,96781,4294949324,18519,46068
2017-02-10-14-01-26,12,03,110112,4294952131,23109,46092
2017-02-10-14-01-26,12,04,88824,4294966057,22382,46027
2017-02-10-14-01-26,12,05,76041,4294940462,23722,46114
2017-02-10-14-01-26,12,06,81448,4294957775,16556,46088
2017-02-10-14-01-26,12,07,91410,3333,19134,46061
2017-02-10-14-01-26,12,08,90560,4294964722,15750,46086
2017-02-10-14-01-26,12,09,95209,4294959500,20786,46062
2017-02-10-14-01-26,12,10,82567,4294959272,18085,46021
2017-02-10-14-01-26,12,11,87199,4294959362,20748,46055
2017-02-10-14-01-26,12,12,77460,4294951972,17645,46065
2017-02-10-14-01-26,12,13,84344,4294962730,20783,46032
2017-02-10-14-01-26,12,14,86510,4294961907,14481,46037
2017-02-10-14-01-26,12,15,58889,4294963253,16240,46014
2017-02-10-14-01-26,12,16,64729,4294956855,22844,46050
2017-02-10-14-01-26,13,01,94125,2739,15979,46047
2017-02-10-14-01-26,13,02,76226,4294966693,17912,46102
2017-02-10-14-01-26,13,03,73304,6142,21571,45989
2017-02-10-14-01-26,13,04,83534,4294960357,22954,45981
2017-02-10-14-01-26,13,05,73541,4294951105,15705,46076
2017-02-10-14-01-26,13,06,96917,3373,13010,46054
2017-02-10-14-01-26,13,07,85947,4294961183,22307,46061
2017-02-10-14-01-26,13,08,72552,4294966470,25113,46085
2017-02-10-14-01-26,13,09,70850,4294956252,15513,46022
2017-02-10-14-01-26,13,10,83650,4294965372,20522,46002
2017-02-10-14-01-26,13,11,92720,4294959580,23376,45996
2017-02-10-14-01-26,13,12,85308,3560,12752,46058
2017-02-10-14-01-26,13,13,72197,4294945146,17626,45999
2017-02-10-14-01-26,13,14,79654,4294951217,23673,46037
2017-02-10-14-01-26,13,15,64978,4294951752,18493,46060
2017-02-10-14-01-26,13,16,82909,4294941533,24442,46025
2017-02-10-14-01-26,14,01,81694,2606,22273,46055
2017-02-10-14-01-26,14,02,64318,4294958944,18326,46059
2017-02-10-14-01-26,14,03,93423,4294962468,25113,46033
2017-02-10-14-01-26,14,04,86289,2272,18126,46025
2017-02-10-14-01-26,14,05,72999,2825,23712,46067
2017-02-10-14-01-26,14,06,101391,15770,10548,46085
2017-02-10-14-01-26,14,07,93301,11213,16864,46017
2017-02-10-14-01-26,14,08,85302,4294963047,26617,46106
2017-02-10-14-01-26,14,09,78746,5864,23698,46050
2017-02-10-14-01-26,14,10,97016,12372,22342,46019
2017-02-10-14-01-26,14,11,99187,4294957891,26524,46022
2017-02-10-14-01-26,14,12,82658,4294964912,19938,46015
2017-02-10-14-01-26,14,13,73224,4294954465,19748,46007
2017-02-10-14-01-26,14,14,78882,4294953498,24031,46009
2017-02-10-14-01-26,14,15,85455,4294965625,19488,45999
2017-02-10-14-01-26,14,16,79869,4294949525,20281,46034
2017-02-10-14-01-26,15,01,82712,4294961246,18423,46021
2017-02-10-14-01-26,15,02,96275,4294966022,18341,46073
2017-02-10-14-01-26,15,03,90217,4294947254,16891,46085
2017-02-10-14-01-26,15,04,91582,4294946852,23935,46001
2017-02-10-14-01-26,15,05,81766,4088,25856,46102
2017-02-10-14-01-26,15,06,87688,2418,18808,46056
2017-02-10-14-01-26,15,07,65771,4294944749,18429,46100
2017-02-10-14-01-26,15,08,75796,5287,19395,46094
2017-02-10-14-01-26,15,09,89024,11660,19018,46100
2017-02-10-14-01-26,15,10,87693,4294951384,26031,45934
2017-02-10-14-01-26,15,11,100333,5894,14132,46045
2017-02-10-14-01-26,15,12,79057,4294949703,22514,46073
2017-02-10-14-01-26,15,13,67951,4294954765,16384,46060
2017-02-10-14-01-26,15,14,85854,4294956328,20747,46089
2017-02-10-14-01-26,15,15,64288,4294957266,23672,46064
2017-02-10-14-01-26,15,16,69708,4294954558,18022,46036
2017-02-10-14-07-57,01,01,50519,4294962647,5124,46046
2017-02-10-14-07-57,01,02,72249,9445,12848,46063
2017-02-10-14-07-57,01,03,45798,4294958776,19620,46039
2017-02-10-14-07-57,01,04,67228,4475,10821,46032
2017-02-10-14-07-57,01,05,46444,4294966388,10495,46019
2017-02-10-14-07-57,01,06,57363,4294966531,14688,45992
2017-02-10-14-07-57,01,07,64304,4294957598,17945,46057
2017-02-10-14-07-57,01,08,54776,4294956212,16553,46045
2017-02-10-14-07-57,01,09,45015,3817,11510,46117
2017-02-10-14-07-57,01,10,52252,4294954614,12706,46075
2017-02-10-14-07-57,01,11,55703,4294966593,11444,46066
2017-02-10-14-07-57,01,12,51717,4294964772,15322,46078
2017-02-10-14-07-57,01,13,49708,4294951937,14294,46011
2017-02-10-14-07-57,01,14,43260,4294940207,20479,46056
2017-02-10-14-07-57,01,15,41644,15178,7368,46044
2017-02-10-14-07-57,01,16,44486,4294957771,17080,46060
2017-02-10-14-07-57,02,01,61193,4294962187,17995,46063
2017-02-10-14-07-57,02,02,55985,4294961081,10870,46114
2017-02-10-14-07-57,02,03,47080,4294959958,13740,46017
2017-02-10-14-07-57,02,04,78021,6766,14589,46007
2017-02-10-14-07-57,02,05,51461,14475,20734,45990
2017-02-10-14-07-57,02,06,71864,31483,2663,45988
2017-02-10-14-07-57,02,07,58059,4294963000,16330,46096
2017-02-10-14-07-57,02,08,46355,4294962088,20260,46054
2017-02-10-14-07-57,02,09,51480,3122,9517,46028
2017-02-10-14-07-57,02,10,68472,4294959446,19627,46037
2017-02-10-14-07-57,02,11,43838,4294961672,1526,46060
2017-02-10-14-07-57,02,12,71635,4294962377,14492,46000
2017-02-10-14-07-57,02,13,55357,4294965987,14533,46091
2017-02-10-14-07-57,02,14,46791,4294956376,18527,46043
2017-02-10-14-07-57,02,15,41008,4294964528,14452,46048
2017-02-10-14-07-57,02,16,45900,5758,6575,46105
2017-02-10-14-07-57,03,01,52886,4294952758,19995,46068
2017-02-10-14-07-57,03,02,72237,4294963641,13184,46038
2017-02-10-14-07-57,03,03,66041,850,16947,46092
2017-02-10-14-07-57,03,04,60558,4294966803,9112,46059
2017-02-10-14-07-57,03,05,70813,4294966280,24522,45971
2017-02-10-14-07-57,03,06,61965,4294963704,9762,46040
2017-02-10-14-07-57,03,07,73520,4294953737,18833,46055
2017-02-10-14-07-57,03,08,79270,4294953290,19171,46066
2017-02-10-14-07-57,03,09,63245,4294958515,15753,46075
2017-02-10-14-07-57,03,10,73726,4294951385,15520,46082
2017-02-10-14-07-57,03,11,54741,2681,17064,46126
2017-02-10-14-07-57,03,12,62130,19044,11251,46104
2017-02-10-14-07-57,03,13,57098,4294945527,14844,46056
2017-02-10-14-07-57,03,14,57206,4294954681,21062,46061
2017-02-10-14-07-57,03,15,48974,405,12357,46022
2017-02-10-14-07-57,03,16,58319,4294955578,11050,46071
2017-02-10-14-07-57,04,01,66207,6076,19067,46109
2017-02-10-14-07-57,04,02,54303,4526,10602,46089
2017-02-10-14-07-57,04,03,66437,15443,6705,46076
2017-02-10-14-07-57,04,04,60625,1373,20448,46020
2017-02-10-14-07-57,04,05,54189,9052,4783,45975
2017-02-10-14-07-57,04,06,65306,4294966325,24690,46127
2017-02-10-14-07-57,04,07,63597,4294949655,26869,46160
2017-02-10-14-07-57,04,08,73381,4294950412,20145,46050
2017-02-10-14-07-57,04,09,62440,4294966541,13106,46041
2017-02-10-14-07-57,04,10,54442,4294966842,16905,46151
2017-02-10-14-07-57,04,11,68897,5192,11666,46066
2017-02-10-14-07-57,04,12,52132,4294946590,15112,46104
2017-02-10-14-07-57,04,13,59776,7036,17042,46137
2017-02-10-14-07-57,04,14,73755,189,16904,46020
2017-02-10-14-07-57,04,15,55002,4294957731,14084,45972
2017-02-10-14-07-57,04,16,67271,4294957202,10267,45993
2017-02-10-14-07-57,05,01,55043,4294953731,11111,46036
2017-02-10-14-07-57,05,02,68976,10902,12571,46057
2017-02-10-14-07-57,05,03,67322,1572,11408,46050
2017-02-10-14-07-57,05,04,72969,4294942821,28631,46028
2017-02-10-14-07-57,05,05,66374,5088,7206,46055
2017-02-10-14-07-57,05,06,64825,4294959042,14604,46065
2017-02-10-14-07-57,05,07,61603,4294947677,20299,46046
2017-02-10-14-07-57,05,08,51623,3545,13058,46052
2017-02-10-14-07-57,05,09,72946,1524,19968,46058
2017-02-10-14-07-57,05,10,55972,4294965065,14763,45119
2017-02-10-14-07-57,05,11,66585,4294947402,20176,46052
2017-02-10-14-07-57,05,12,67333,4294953886,14739,46017
2017-02-10-14-07-57,05,13,31281,3337,11605,46042
2017-02-10-14-07-57,05,14,58475,4294957407,13925,46059
2017-02-10-14-07-57,05,15,48205,4294946995,15812,46025
2017-02-10-14-07-57,05,16,41948,4294966437,18382,46096
2017-02-10-14-07-57,06,01,70891,5738,14287,46146
2017-02-10-14-07-57,06,02,71931,4294961180,19004,46069
2017-02-10-14-07-57,06,03,68344,4294956101,21327,46003
2017-02-10-14-07-57,06,04,64402,4294956624,21107,46095
2017-02-10-14-07-57,06,05,64169,4294958615,18627,46024
2017-02-10-14-07-57,06,06,57637,19120,12221,46047
2017-02-10-14-07-57,06,07,66717,4294965815,17553,46067
2017-02-10-14-07-57,06,08,51587,4294963219,14300,46036
2017-02-10-14-07-57,06,09,69855,6605,13673,45833
2017-02-10-14-07-57,06,10,76779,13783,7847,46040
2017-02-10-14-07-57,06,11,59106,4294940139,14050,45989
2017-02-10-14-07-57,06,12,65454,4294960464,17639,46098
2017-02-10-14-07-57,06,13,64872,4294954286,22402,46026
2017-02-10-14-07-57,06,14,74573,4294949331,6502,46028
2017-02-10-14-07-57,06,15,46543,4294960786,19231,46073
2017-02-10-14-07-57,06,16,65895,4294939971,14675,46103
2017-02-10-14-07-57,07,01,76551,4294948758,18567,46134
2017-02-10-14-07-57,07,02,77982,4294944080,22109,46065
2017-02-10-14-07-57,07,03,59767,4294963131,25773,46130
2017-02-10-14-07-57,07,04,72824,4294961549,16513,45993
2017-02-10-14-07-57,07,05,61022,4294963933,21878,46054
2017-02-10-14-07-57,07,06,79650,2215,12397,46071
2017-02-10-14-07-57,07,07,65762,3715,18640,46015
2017-02-10-14-07-57,07,08,81053,1096,14820,46040
2017-02-10-14-07-57,07,09,84833,3030,8985,46007
2017-02-10-14-07-57,07,10,81927,4133,17463,46004
2017-02-10-14-07-57,07,11,67530,4294964264,16499,46078
2017-02-10-14-07-57,07,12,81330,4294957683,15960,46020
2017-02-10-14-07-57,07,13,62895,4294962846,14897,46019
2017-02-10-14-07-57,07,14,72699,4294940117,27917,46077
2017-02-10-14-07-57,07,15,75847,4294957754,17558,46032
2017-02-10-14-07-57,07,16,51307,4294954938,13679,46076
2017-02-10-14-07-57,08,01,77039,9398,7999,46041
2017-02-10-14-07-57,08,02,73216,4294964431,19424,46077
2017-02-10-14-07-57,08,03,77610,4294962243,21858,46094
2017-02-10-14-07-57,08,04,87809,4294965971,15209,46015
2017-02-10-14-07-57,08,05,75507,4294958277,22872,46033
2017-02-10-14-07-57,08,06,88271,6180,18441,46015
2017-02-10-14-07-57,08,07,95522,4294964142,19705,46013
2017-02-10-14-07-57,08,08,76351,2778,19435,46098
2017-02-10-14-07-57,08,09,75380,4294964402,15915,46012
2017-02-10-14-07-57,08,10,76368,4294960096,14789,45975
2017-02-10-14-07-57,08,11,69680,4294966672,16923,46067
2017-02-10-14-07-57,08,12,80396,4294949117,15215,46037
2017-02-10-14-07-57,08,13,77807,4294941717,17240,46038
2017-02-10-14-07-57,08,14,71583,4294960985,13962,46074
2017-02-10-14-07-57,08,15,82120,4294936771,21367,46068
2017-02-10-14-07-57,08,16,53064,6095,22974,46080
2017-02-10-14-07-57,09,01,80502,4294939402,21080,46097
2017-02-10-14-07-57,09,02,68807,4294966254,12596,46059
2017-02-10-14-07-57,09,03,69236,4294962011,20499,46065
2017-02-10-14-07-57,09,04,64851,4294953883,14619,46020
2017-02-10-14-07-57,09,05,52787,637,20114,46026
2017-02-10-14-07-57,09,06,60204,4294959916,19884,46082
2017-02-10-14-07-57,09,07,77481,4294951532,19934,46002
2017-02-10-14-07-57,09,08,69431,4749,21825,46110
2017-02-10-14-07-57,09,09,73931,13899,15559,46143
2017-02-10-14-07-57,09,10,64425,8019,22751,46026
2017-02-10-14-07-57,09,11,71554,4294963476,10839,46088
2017-02-10-14-07-57,09,12,82866,1040,15275,46084
2017-02-10-14-07-57,09,13,74080,4294948986,20203,46005
2017-02-10-14-07-57,09,14,63179,4294948897,11113,46068
2017-02-10-14-07-57,09,15,71950,4294938121,19711,46032
2017-02-10-14-07-57,09,16,64264,4294952126,14536,46012
2017-02-10-14-07-57,10,01,80423,3664,14387,46048
2017-02-10-14-07-57,10,02,85829,4294963125,21817,45974
2017-02-10-14-07-57,10,03,66642,1158,26196,45728
2017-02-10-14-07-57,10,04,71794,4294960415,22483,46038
2017-02-10-14-07-57,10,05,85305,4294963123,28332,46055
2017-02-10-14-07-57,10,06,72785,4294943505,23241,46074
2017-02-10-14-07-57,10,07,65780,4294966951,17474,46028
2017-02-10-14-07-57,10,08,81089,4294963258,18789,46027
2017-02-10-14-07-57,10,09,80124,7827,12288,46081
2017-02-10-14-07-57,10,10,88796,4294961177,21220,46072
2017-02-10-14-07-57,10,11,71095,4294945054,20170,46037
2017-02-10-14-07-57,10,12,72670,6527,13386,46007
2017-02-10-14-07-57,10,13,84234,4294956183,31334,46014
2017-02-10-14-07-57,10,14,53915,4294950737,22138,46139
2017-02-10-14-07-57,10,15,62784,6631,16627,46055
2017-02-10-14-07-57,10,16,70269,4294961524,24303,46070
2017-02-10-14-07-57,11,01,80936,4294957983,23287,46019
2017-02-10-14-07-57,11,02,87676,4294948305,20257,46102
2017-02-10-14-07-57,11,03,74626,4294960736,14229,46070
2017-02-10-14-07-57,11,04,92817,9802,19980,45984
2017-02-10-14-07-57,11,05,77844,4294959597,27778,46037
2017-02-10-14-07-57,11,06,72161,4294966827,7274,46027
2017-02-10-14-07-57,11,07,66011,4294962858,26780,46072
2017-02-10-14-07-57,11,08,93804,4294965598,20740,46108
2017-02-10-14-07-57,11,09,88651,4294964838,28737,46040
2017-02-10-14-07-57,11,10,86549,4294959640,12635,46042
2017-02-10-14-07-57,11,11,61613,2954,19429,46045
2017-02-10-14-07-57,11,12,81541,4294963155,16746,46027
2017-02-10-14-07-57,11,13,92146,4294953793,24208,45992
2017-02-10-14-07-57,11,14,103227,10494,12658,46085
2017-02-10-14-07-57,11,15,82674,4294942756,21122,46098
2017-02-10-14-07-57,11,16,86041,4294954050,13231,46063
2017-02-10-14-07-57,12,01,90139,4294965552,18563,46078
2017-02-10-14-07-57,12,02,96776,4294949225,18368,46072
2017-02-10-14-07-57,12,03,110000,4294952049,23093,46091
2017-02-10-14-07-57,12,04,88456,4294965964,22161,46024
2017-02-10-14-07-57,12,05,75369,4294940276,23762,46114
2017-02-10-14-07-57,12,06,81290,4294957724,16535,46091
2017-02-10-14-07-57,12,07,91311,3547,19053,46066
2017-02-10-14-07-57,12,08,90549,4294964517,15864,46084
2017-02-10-14-07-57,12,09,95215,4294959769,20853,46065
2017-02-10-14-07-57,12,10,82312,4294959410,18208,46021
2017-02-10-14-07-57,12,11,87257,4294959404,20869,46057
2017-02-10-14-07-57,12,12,77539,4294952019,17872,46065
2017-02-10-14-07-57,12,13,84049,4294962884,20772,46035
2017-02-10-14-07-57,12,14,86830,4294961931,14414,46039
2017-02-10-14-07-57,12,15,59071,4294962943,15843,46010
2017-02-10-14-07-57,12,16,64499,4294956794,22490,46046
2017-02-10-14-07-57,13,01,93687,2792,16130,46037
2017-02-10-14-07-57,13,02,76126,4294966452,17880,46106
2017-02-10-14-07-57,13,03,73292,5895,21443,45990
2017-02-10-14-07-57,13,04,83391,4294960561,22999,45982
2017-02-10-14-07-57,13,05,73497,4294951144,15741,46083
2017-02-10-14-07-57,13,06,96556,3468,12930,46058
2017-02-10-14-07-57,13,07,85954,4294961350,22199,46058
2017-02-10-14-07-57,13,08,72868,4294966239,25277,46086
2017-02-10-14-07-57,13,09,70608,4294956199,15702,46025
2017-02-10-14-07-57,13,10,83186,4294965345,20514,46000
2017-02-10-14-07-57,13,11,92700,4294959327,23397,45999
2017-02-10-14-07-57,13,12,84852,3701,13007,46059
2017-02-10-14-07-57,13,13,71897,4294945156,17686,46001
2017-02-10-14-07-57,13,14,80180,4294951281,23602,46038
2017-02-10-14-07-57,13,15,64834,4294951601,18604,46064
2017-02-10-14-07-57,13,16,83228,4294941562,24407,46029
2017-02-10-14-07-57,14,01,81534,2735,22437,46060
2017-02-10-14-07-57,14,02,64346,4294958624,18052,46060
2017-02-10-14-07-57,14,03,93207,4294962367,25274,46034
2017-02-10-14-07-57,14,04,86202,2490,18138,46029
2017-02-10-14-07-57,14,05,72729,2906,23728,46073
2017-02-10-14-07-57,14,06,101276,15639,10479,46086
2017-02-10-14-07-57,14,07,93211,11335,16991,46015
2017-02-10-14-07-57,14,08,84913,4294963379,26690,46111
2017-02-10-14-07-57,14,09,78246,5541,23718,46051
2017-02-10-14-07-57,14,10,96898,12204,22201,46018
2017-02-10-14-07-57,14,11,99118,4294957839,26402,46019
